name,gender,origins
Aegeus,m,Greek Mythology (Latinized)
Aegidius,m,Late Roman
Ægir,m,Norse Mythology
Aegisthus,m,Greek Mythology (Latinized)
Aegle,f,Greek Mythology (Latinized)
Aegyptus,m,Greek Mythology (Latinized)
Ælfflæd,f,Anglo-Saxon
Ælfgar,m,Anglo-Saxon
Ælfgifu,f,Anglo-Saxon
Ælfgyð,f,Anglo-Saxon
Ælfheah,m,Anglo-Saxon
Ælfhild,f,Anglo-Saxon
Ælfnoð,m,Anglo-Saxon
Ælfræd,m,Anglo-Saxon
Ælfric,m,Anglo-Saxon
Ælfsige,m,Anglo-Saxon
Ælfstan,m,Anglo-Saxon
Ælfswiþ,f,Anglo-Saxon
Ælfþryð,f,Anglo-Saxon
Ælfthryth,f,Anglo-Saxon
Ælfweard,m,Anglo-Saxon
Ælfwig,m,Anglo-Saxon
Ælfwine,m,Anglo-Saxon
Ælfwynn,f,Anglo-Saxon
Aelia,f,Ancient Roman
Aeliana,f,Ancient Roman
Aelianus,m,Ancient Roman
Aelita,f,"Literature, Russian, Latvian"
Aelius,m,Ancient Roman
Aella,f,Greek Mythology
Ælred,m,Anglo-Saxon
Aemilia,f,Ancient Roman
Aemiliana,f,Ancient Roman
Aemilianus,m,Ancient Roman
Aemilius,m,Ancient Roman
Aeneas,m,Roman Mythology
Aengus,m,Medieval Irish
Aenoheso,m,Cheyenne
Aenor,f,Germanic (Latinized)
Aeolus,m,Greek Mythology (Latinized)
Aeron,m,Welsh
Aerona,f,Welsh
Aeronwen,f,Welsh (Rare)
Aeronwy,f,Welsh (Rare)
Æsc,m,Anglo-Saxon
Aeschylus,m,Ancient Greek (Latinized)
Aesculapius,m,Greek Mythology (Latinized)
Aeson,m,Greek Mythology (Latinized)
Aesop,m,Ancient Greek (Anglicized)
Æthelbald,m,Anglo-Saxon
Æðelbeald,m,Anglo-Saxon
Æþelbeorht,m,Anglo-Saxon
Æthelberht,m,Anglo-Saxon
Æðelflæd,f,Anglo-Saxon
Æthelflæd,f,Anglo-Saxon
Æðelfrið,m,Anglo-Saxon
Æðelmær,m,Anglo-Saxon
Æthelnoð,m,Anglo-Saxon
Æðelræd,m,Anglo-Saxon
Æþelræd,m,Anglo-Saxon
Æthelred,m,Anglo-Saxon
Æðelric,m,Anglo-Saxon
Æthelric,m,Anglo-Saxon
Æðelstan,m,Anglo-Saxon
Æthelstan,m,Anglo-Saxon
Æðelþryð,f,Anglo-Saxon
Æthelthryth,f,Anglo-Saxon
Æthelweald,m,Anglo-Saxon
Æthelweard,m,Anglo-Saxon
Æðelwine,m,Anglo-Saxon
Æthelwine,m,Anglo-Saxon
Æðelwulf,m,Anglo-Saxon
Aether,m,Greek Mythology (Latinized)
Aetius,m,Ancient Roman
Afaf,f,Arabic
Afan,m,Bosnian
Afanasiy,m,Russian
Afanasy,m,Russian
Afërdita,f,Albanian
Affan,m,Arabic
Affraic,f,Old Irish
Afi,f,Ewe
Afia,f,Akan
Afif,m,Arabic
Afifa,f,"Arabic, Bengali"
Afifah,f,"Arabic, Indonesian, Malay"
Afina,f,"Greek Mythology (Russified, Ukrainianized)"
Afnan,f,Arabic
Afolabi,m,Yoruba
Afon,f,Welsh (Rare)
Afonso,m,"Portuguese, Galician"
Afonya,m,Russian
Afra 1,f,"Late Roman, Italian"
Afra 2,f,Arabic
Afrasiab,m,Persian Mythology
África,f,Spanish
Àfrica,f,Catalan
Africa 1,f,African American (Rare)
Africa 2,f,Irish (Rare)
Africanus,m,Ancient Roman
Afrim,m,Albanian
Afrodita,f,"Greek Mythology (Hispanicized, Russified)"
